"","ape","cape","oracle.point.estimate","oracle.standard.error.estimate","oracle.linear.point.estimate","plugin.point.estimate","plugin.standard.error.estimate","plugin.linear.point.estimate","minimax.point.estimate","minimax.standard.error.estimate","minimax.linear.point.estimate","minimax.plus.point.estimate","minimax.plus.standard.error.estimate","minimax.plus.linear.point.estimate"
"init",-0.2,-0.2,-0.128151341582714,0.0594088916195215,0.0426038996760676,-0.147731821948899,0.0952745015654256,0.642440611191015,-0.153620352351627,0.0961294313613734,-0.0820773295644739,-0.121328944650985,0.0973200291486243,0.0606020516657567
"",-0.2,-0.2,-0.288606368642346,0.0915487095093533,-0.265866182914107,-0.220094395028244,0.103559610590083,0.610255667507611,-0.202426312120784,0.106003725546459,-0.157116292048128,-0.232933847740976,0.111713244630951,-0.120013367697316
"",-0.2,-0.2,-0.283130431563103,0.102854045080429,-0.424051182749913,-0.163647068967147,0.0974690084458626,0.726615536702476,-0.168264321224809,0.101374947091271,-0.129777648424777,-0.164181607371312,0.102297786171505,-0.0551488588874722
"",-0.2,-0.2,-0.0850127499674245,0.0634107731562026,-0.0272900732429997,-0.027254780566778,0.095744156363801,0.896716522712829,-0.0211228822614729,0.0976435986707424,0.0883383855856408,-0.133855577848905,0.0968338646192386,0.00830522122543273
"",-0.2,-0.2,-0.163115264381641,0.0779770401215947,-0.14905215479198,-0.130716004989556,0.0930629584297134,0.760966879243301,-0.0976321589843324,0.0959220127513837,-0.0497949375887878,-0.11595339335108,0.0983754968367102,-0.00552687868666819
"",-0.2,-0.2,-0.096541750788504,0.0628948562119479,0.126353907891914,-0.0877966735025555,0.0995870206474278,0.66360796834711,-0.0351055689369519,0.100000341186245,0.0577314410166888,-0.146924243698109,0.100988496614926,0.0174429331805008
"",-0.2,-0.2,-0.251620520352383,0.0845075077051666,-0.354925395896307,-0.240817624709801,0.0979187860695375,0.470925278541379,-0.251292256858827,0.100972774712436,-0.199460244298768,-0.251830022443275,0.104580927777078,-0.146414274476932
"",-0.2,-0.2,-0.118317946482405,0.0725828749999066,-0.195170370983083,-0.0798769608855302,0.0938235310644841,0.612663796512623,-0.0825062936651802,0.0975037141547118,-0.0180874830688405,-0.125049247135535,0.098518712940159,-0.0184537331863416
"",-0.2,-0.2,-0.278337650507431,0.0857520746247033,-0.501933292775324,-0.159870818161406,0.0971929173659516,0.508889963738459,-0.135210034849576,0.0982036365409238,-0.056637570903365,-0.179284557514793,0.101926443028198,-0.0669207241516647
"",-0.2,-0.2,-0.156101345393609,0.110729515482975,-0.270216512878501,-0.082409214891417,0.102155722391165,0.713951577752862,-0.073310338032081,0.10828706068791,-0.0254100817094447,-0.121524706220968,0.112355817656686,-0.0235360424007319
"",-0.2,-0.2,-0.0571256881545489,0.0617094038155221,0.0246982719516011,-0.053277752312163,0.100106606987339,0.859312818477777,-0.044008487831912,0.10211086149908,0.0492341945701132,-0.0700076857293808,0.102989982198866,0.0789557645938277
"",-0.2,-0.2,-0.422652470050152,0.0757562826250361,-0.245951570501227,-0.383160478344759,0.0893300400242522,0.434947063042823,-0.378585336988498,0.0908883600194424,-0.240361881784628,-0.468150073749158,0.094750565820524,-0.253970179147136
"",-0.2,-0.2,-0.279578495444668,0.0792114127894521,-0.356954267314885,-0.214298156463027,0.0985311418058716,0.333588266194847,-0.188937099071216,0.100072562463218,-0.153090954427854,-0.165611038311978,0.104706061064413,-0.0411689275896066
"",-0.2,-0.2,-0.159283582170472,0.0658520458991343,-0.0427769156803452,-0.151243303163949,0.0956946326487539,0.600544461870221,-0.130031682473552,0.0977846234467556,-0.0411433827677412,-0.178824918487606,0.0975903788373321,-0.0453493477477204
"",-0.2,-0.2,-0.102108299308818,0.0758621966337893,-0.200967000664415,-0.0879751357394419,0.0948031857038639,0.771755602960525,-0.0828654989634122,0.0970340540759158,-0.00795387986541164,-0.107092416336511,0.102440719722894,0.0412094486784746
"",-0.2,-0.2,-0.247275643645415,0.103082911054615,-0.290782094374001,-0.134043694253338,0.101944564825761,0.529287229546875,-0.109045567478024,0.104439958190564,-0.0355444417321146,-0.16697868232947,0.10869436885421,-0.0246840595132648
"",-0.2,-0.2,-0.0401265624454995,0.070386685934932,0.00572858396719654,-0.0175767805886793,0.0941585622134174,0.647787442280994,0.0071672484068444,0.0942468780155035,0.0901186133171036,-0.0804630091347165,0.0985337976286695,0.102346698907347
"",-0.2,-0.2,-0.206505245497385,0.0824195059632472,-0.195348032364444,-0.195414122003099,0.10288508929357,0.564988352969875,-0.153740664751788,0.105565619556119,-0.0563814400747014,-0.203443177156477,0.107870149335467,-0.0389940203637046
"",-0.2,-0.2,-0.195972810174247,0.0676942350241509,-0.153851664158062,-0.194370474324697,0.0972836072063471,0.505797089587206,-0.18202800353838,0.0981956708656351,-0.112286724713761,-0.26277283780609,0.0986547199564385,-0.144325425162185
"",-0.2,-0.2,-0.174391554104513,0.10103057965729,-0.398514902962833,-0.120760437930754,0.101750278981015,0.724311990024582,-0.095022751689793,0.104364372072206,-0.0314972038175781,-0.142101406782197,0.107396616966298,-0.0397872054868036
"",-0.2,-0.2,-0.206782101749572,0.0614250014877473,-0.159280420983979,-0.256232093903176,0.0925926143352616,0.472081619582975,-0.254727606944774,0.093787818176361,-0.196740309109197,-0.240049676620985,0.091401209095361,-0.137577063428343
"",-0.2,-0.2,-0.277819682129257,0.0663411469402418,-0.375764119768256,-0.260503297625985,0.0953773627621484,0.639102818304973,-0.22590383679526,0.0971713740578638,-0.141084668269115,-0.295148212608856,0.0975729577775408,-0.139339857554315
"",-0.2,-0.2,-0.211824883254948,0.0830128638438411,-0.103599938561628,-0.18599880943765,0.0950199452887951,0.528545085774936,-0.161510300999077,0.0968025398485451,-0.0780903707548831,-0.252724672669892,0.105346779276662,-0.132858804356971
"",-0.2,-0.2,-0.267025251018985,0.0885807117541159,-0.271608052383315,-0.189131546363276,0.0936152462300564,0.500085691642849,-0.173962126992101,0.094277354955004,-0.0919306367410437,-0.290139921411132,0.100204394817915,-0.126752820288344
"",-0.2,-0.2,-0.201114652731173,0.0723562759891357,-0.212120977528351,-0.17647247210368,0.0943826508894244,0.66297329858863,-0.150265251148535,0.0952929077761994,-0.0360630040038081,-0.128215999653175,0.0991233335256907,0.030566092354829
"",-0.2,-0.2,-0.148165788515091,0.0682597667943215,-0.190682347141054,-0.094561613329967,0.0952446527414094,0.775405560123053,-0.0700507758027478,0.0970582947476038,-0.00267670590340036,-0.149144462314761,0.101129613852342,-0.0184786596281518
"",-0.2,-0.2,-0.312410959861249,0.0714842068174939,-0.322601261827034,-0.304446915705023,0.0927935773746064,0.54425788903435,-0.300523783233703,0.0950905605635355,-0.234660053042824,-0.318384589099785,0.103236440939578,-0.129199208442879
"",-0.2,-0.2,-0.19098599737573,0.0720020723928897,-0.0328312681343404,-0.156385063378403,0.0964870738820285,0.673605483082945,-0.13709241532602,0.0996319478102316,-0.0629465234898088,-0.208135725580111,0.104596729685758,-0.0326397385160955
"",-0.2,-0.2,-0.039601332448688,0.066493258840893,0.0578293387811655,-0.094168531778261,0.103120013371891,0.788251505399586,-0.0307569625113372,0.0933085907243914,0.0791915579227165,-0.0865397837410814,0.098107755005753,0.124931893824642
"",-0.2,-0.2,0.0644233849640804,0.0652921338237178,0.398402003290476,0.0226472333918269,0.0983964058783012,0.979053631591351,0.072515470942102,0.100314041381866,0.178509190476912,-0.0248811880830014,0.104987007634909,0.165396222502646
"",-0.2,-0.2,-0.244314232104454,0.089310098916825,-0.367412500000326,-0.228569056145108,0.0974116247117155,0.45117256552596,-0.213560712496742,0.0992327230311886,-0.162371322763513,-0.162128653555609,0.103052746534526,-0.0398548039993754
"",-0.2,-0.2,-0.0618482655481489,0.0614715079002154,0.0360078772885891,-0.0760232953974428,0.0947646838510374,0.819382952748005,-0.0713471068078362,0.0953080030943442,0.0369494294787347,-0.152700909373092,0.0958773829002993,0.00906179124617404
"",-0.2,-0.2,-0.150356842685117,0.0806709624816122,-0.211700104824351,-0.0790850713457446,0.0928022274023196,0.611520881268556,-0.0648819537986834,0.0945467417130704,0.0293986281200419,-0.134010623577029,0.0967724987262683,0.00635013655168265
"",-0.2,-0.2,-0.312422285550141,0.0616650462807539,-0.0584171446026885,-0.301721074259089,0.092968910754084,0.429769412140281,-0.290295606019439,0.0948194756636727,-0.18740570417016,-0.30699676222972,0.0971929848909291,-0.124200250037512
"",-0.2,-0.2,-0.0626029492614795,0.068168334057786,-0.00394049756419697,-0.0972920518060116,0.101058495673524,0.891494404329646,-0.0967431363915197,0.103980768689034,-0.0319374703587054,-0.116999579774332,0.105709587055584,-0.0123559589971625
"",-0.2,-0.2,-0.162380584556735,0.0575612420386302,0.122909391703534,-0.191660004073368,0.0994401254227921,0.481207667368869,-0.185523651413058,0.09918399039249,-0.126893525287275,-0.205610452305902,0.0969110055382859,-0.0262682695229115
"",-0.2,-0.2,-0.386684140745797,0.074750393752094,-0.279779840993765,-0.353163416730488,0.0935768623242015,0.487120305764714,-0.356956820878578,0.095290606925847,-0.258833498142488,-0.384977878098109,0.100749593181083,-0.196126781770379
"",-0.2,-0.2,-0.262811428698834,0.0828471855230267,-0.28780166310633,-0.196108684206942,0.103562533090746,0.567411057393948,-0.177387038684207,0.106136603149994,-0.127781523724421,-0.204801621111963,0.109784073794153,-0.0760921923783735
"",-0.2,-0.2,-0.0490207424853188,0.0864546120451214,-0.282737621913918,-0.0150126577869279,0.094422074431284,0.519770218058014,0.00503282404981348,0.0965686673798879,0.0833572206339049,-0.0619163918677954,0.096185564560638,0.050922175570314
"",-0.2,-0.2,-0.250980170529922,0.0797588480418346,-0.0670765224525049,-0.299035116592892,0.0986544432980565,0.456050657488786,-0.274846234288339,0.103354730056124,-0.203282769214421,-0.305001998162901,0.105612220678496,-0.179663960838601
"",-0.2,-0.2,-0.246138032576125,0.0566937580533102,-0.0860641563132149,-0.247024995930483,0.096850901353607,0.444452512512576,-0.240085175128066,0.0979239474935103,-0.168279087700631,-0.308762851527183,0.0970300072494,-0.160393391324064
"",-0.2,-0.2,-0.117657512861989,0.0881787285613484,-0.285143391663331,-0.0447534625912736,0.0955829613548052,0.870022413273534,-0.0412292477482689,0.101175709806211,0.0301978018108532,-0.0920516380109442,0.102317265821744,0.0298375718205014
"",-0.2,-0.2,-0.297154329909978,0.0717013656257064,-0.174581248302848,-0.265748053072655,0.0929548258153982,0.64049734654995,-0.27116376996182,0.0947596285959798,-0.220289841363455,-0.206926896069289,0.0970368567850557,-0.0680715349968485
"",-0.2,-0.2,-0.157714779320813,0.0799217787710531,-0.256355139572956,-0.103486569577289,0.0966651475469129,0.685671290861738,-0.0914909863958803,0.0984907991796239,-0.0212603812069029,-0.109258872209723,0.102040409550847,0.0396350759404671
"",-0.2,-0.2,-0.295079073731886,0.0921623909817664,-0.51902483639157,-0.196375201680016,0.101164987533173,0.577461483530192,-0.190212482426897,0.102912714895518,-0.103709677444627,-0.206294050963391,0.104508868815512,-0.0531564660679361
"",-0.2,-0.2,-0.169515925122863,0.0796427852736051,-0.39763507939593,-0.102900217589108,0.0988540198996004,0.741368296396384,-0.106496335651992,0.101257641920504,-0.0319248807890469,-0.184824804238941,0.105369725383069,-0.0596909234230354
"",-0.2,-0.2,-0.116356718996264,0.0651029224654458,-0.102108581843989,-0.0921598819006034,0.0996103651271946,0.72519381696572,-0.0819123955109616,0.101050016429966,-0.02867480811275,-0.0786958792784168,0.102706010456591,0.0443481230670279
"",-0.2,-0.2,-0.0883947915277206,0.0606378277130997,0.233660109950539,-0.122931007556,0.0983142096938257,0.633919847969541,-0.0719160705704941,0.0954747523668399,0.0669687645628313,-0.150497278528682,0.0954822181783513,0.0728973991846481
"",-0.2,-0.2,-0.104005927441317,0.0666322442970586,-0.0386899840238041,-0.0892881714364651,0.0962806237639139,1.00127997432344,-0.0751206568836215,0.0987390768833647,0.0103806034986565,-0.122864407701992,0.0992456851977868,0.0281765101970431
"",-0.2,-0.2,-0.133755760139644,0.0594868106508842,0.0303809953858742,-0.146479539789019,0.0939335560181613,0.764486715561097,-0.11382400903699,0.0939887128792408,-0.0246310241387231,-0.16903606553293,0.0976723022109379,-0.0259314604238241
"",-0.2,-0.2,-0.353651939587084,0.114688581278826,-0.482600705173439,-0.262247298745813,0.0998861926490933,0.44760130468196,-0.255783800369642,0.103665771739101,-0.186577692723976,-0.337939261333366,0.117420572718636,-0.197188893040408
"",-0.2,-0.2,-0.149313976956402,0.0763776118163488,-0.0875307297261257,-0.0974440316485184,0.0978517111559397,0.802027478247544,-0.0964909957067202,0.0991456370293499,-0.00614165529898955,-0.212283386620369,0.100522923451662,-0.060213697003033
"",-0.2,-0.2,-0.19347108001276,0.0657258650731608,-0.0595861974558994,-0.212933057144969,0.0993089586927913,0.3701299264814,-0.188765761481418,0.102367915624216,-0.105237783136001,-0.188913239016154,0.103733629488293,-0.0483473936549964
"",-0.2,-0.2,-0.176535408494728,0.073352573665601,-0.318561719575812,-0.182175741410717,0.0941811329660872,0.783379700578371,-0.168073844427418,0.0956094883188081,-0.0888679480082457,-0.222285546208071,0.0976801400686261,-0.12089823495332
"",-0.2,-0.2,-0.22675764069589,0.0782778345172234,-0.223730136263265,-0.150943663570914,0.0958512598273113,0.678377208033283,-0.141666107973206,0.098509436407946,-0.0778279343835554,-0.127507493758301,0.101225786196256,0.0166451236872169
