"","ape","cape","oracle.point.estimate","oracle.standard.error.estimate","oracle.linear.point.estimate","plugin.point.estimate","plugin.standard.error.estimate","plugin.linear.point.estimate","minimax.point.estimate","minimax.standard.error.estimate","minimax.linear.point.estimate","minimax.plus.point.estimate","minimax.plus.standard.error.estimate","minimax.plus.linear.point.estimate"
"init",-0.2,-0.2,-0.358707135422888,0.0769791556312014,-0.225206061004547,-0.343344118021039,0.09564547853553,0.443913855264816,-0.355417225140049,0.0998491634180328,-0.270548946023108,-0.376750970632689,0.100609948173849,-0.187821057970271
"",-0.2,-0.2,-0.23752233520478,0.101310365456489,-0.0351370037090827,-0.207081164474458,0.0999220234763006,0.455880585329801,-0.262129157269416,0.104446389167435,-0.162207766582569,-0.271580024682656,0.106386811161824,-0.0728468731188912
"",-0.2,-0.2,-0.368530249003418,0.0821894489770323,-0.171846902040865,-0.286150741684719,0.100761198276664,0.343792871174545,-0.290872362222643,0.102612065111914,-0.164458505833427,-0.277641825898239,0.098577064328435,0.0308944433568232
"",-0.2,-0.2,-0.237963468780451,0.0647777453687216,0.00461242629007161,-0.270820141831029,0.0986676695638156,0.476371666436421,-0.252597299515882,0.0994707883078211,-0.13954116076424,-0.235399363250228,0.101029405763632,0.0197208612118117
"",-0.2,-0.2,-0.192942507847319,0.0735715691243115,-0.196547498943025,-0.216146035397586,0.0968981143396901,0.700175247711467,-0.217339304522624,0.0990710043131852,-0.0868590142688904,-0.190094898711525,0.0994870825438583,0.0617299981142254
"",-0.2,-0.2,-0.150057461486759,0.0600270228376017,0.0146510621587281,-0.204209931846179,0.100424753580813,0.645225215866246,-0.189434375753011,0.102294164532813,-0.101717381240933,-0.126982451802928,0.102147999456238,0.0765012536111624
"",-0.2,-0.2,-0.0465695146453252,0.0750253230383482,0.00843490605823287,-0.0339301765234881,0.101546012739493,0.77804424333539,-0.0208495495534083,0.103368478976264,0.0846407257642117,-0.0279826150006139,0.10659456411261,0.152740039255588
"",-0.2,-0.2,-0.318196821797406,0.094754746270233,-0.0818199644251555,-0.288949376167114,0.112061391186766,0.551089010168069,-0.26397936719255,0.107035731986367,-0.144001568983566,-0.284769115909935,0.123828574236716,-0.0326665963919519
"",-0.2,-0.2,-0.134517186104257,0.129978297644994,-0.432114988065119,0.0218792447483066,0.105880444395527,0.744917440405169,0.0291400810394656,0.111999539955375,0.118029184815505,-0.0278999174037207,0.118257509691017,0.156931445949477
"",-0.2,-0.2,-0.176828968424471,0.061438152577458,0.0627443760257804,-0.230932601676573,0.096163708434734,0.706504505567435,-0.232361323233433,0.0973252106399516,-0.116346079836193,-0.194515303783009,0.103674071221721,0.0678273103546959
"",-0.2,-0.2,0.135535605046839,0.0644136156876795,0.284811288251218,0.0267061919934865,0.0994275215197858,0.90566782475045,0.0437402862308362,0.102597559593131,0.157825454265435,0.043778810338777,0.107581085283563,0.28866906442421
"",-0.2,-0.2,-0.152388616450572,0.0685375544930893,-0.0254919505465448,-0.241683727239687,0.110083043245339,0.687487814415629,-0.229285895133075,0.0995224003782411,-0.107542820165011,-0.23659985676632,0.0981735632409403,-0.00163312070910079
"",-0.2,-0.2,0.0722393047047896,0.0863942390035519,0.030432693251967,0.0473637098803439,0.0975715796682474,0.817655786561271,0.0732898508291042,0.0983797025437277,0.177767737768542,0.0198329379783134,0.105326557010892,0.221624492943197
"",-0.2,-0.2,-0.139493270597786,0.0730970329965699,-0.193787889978997,-0.208210119987072,0.0998185908309563,0.566224552983699,-0.21380011667905,0.101522931092279,-0.110302017564913,-0.214395981083854,0.0997781353962362,0.0198502700013605
"",-0.2,-0.2,-0.223745542686896,0.0710517924373957,-0.182183917091356,-0.251802886933724,0.096023906532705,0.528983345656873,-0.233744442159159,0.0981419197249284,-0.104004411987438,-0.255991476744485,0.0996874002644275,-0.0419686703011919
