"","ape","cape","oracle.point.estimate","oracle.standard.error.estimate","oracle.linear.point.estimate","plugin.point.estimate","plugin.standard.error.estimate","plugin.linear.point.estimate","minimax.point.estimate","minimax.standard.error.estimate","minimax.linear.point.estimate","minimax.plus.point.estimate","minimax.plus.standard.error.estimate","minimax.plus.linear.point.estimate"
"init",0.58,0.587155127508099,0.562447512750086,0.049820200729467,0.316698967987212,0.766241213285579,0.0400316200069958,0.917297301371338,0.657826283139771,0.043402228719402,0.668883353143268,0.617426056679591,0.0462698106185447,0.643725236383018
"",0.58,0.586093313930543,0.597711955058748,0.0475333875792822,0.578941875225767,0.786784247975845,0.0385660268545589,0.928560848201419,0.68022915729127,0.0424074134019385,0.715425911561716,0.609566606913446,0.047513567725955,0.646146059401744
"",0.58,0.578045318601411,0.596568768196966,0.0478177123415715,0.525899999203128,0.743869852650396,0.0397330740775319,0.931979086253783,0.673717511390193,0.0411012799005625,0.701524518962119,0.615269532236524,0.0458672362612913,0.652387393057084
"",0.58,0.580573560918338,0.542763116515811,0.0444921444336558,0.56851543265961,0.727629263350028,0.0408907083045753,0.891530368038677,0.623841473741889,0.0441419449764074,0.669496255761823,0.567270808949031,0.0454375941020401,0.61355592433552
"",0.58,0.570762601784816,0.53944587426339,0.0622630031350336,0.574100550568614,0.750090220777417,0.0459242419553987,0.890261970303383,0.64237373488884,0.0509325341088569,0.674991199445961,0.585385571835281,0.0497360467043895,0.617841542519242
"",0.58,0.581900471042024,0.652024490567667,0.046533656725876,0.519363193180653,0.823366703752846,0.0430810085830055,1.03344127765838,0.728443113152509,0.0468363858987558,0.760683804127105,0.727288590412966,0.0507779669152501,0.750548696223555
"",0.58,0.587040247474679,0.579792179412546,0.0477959871397233,0.525355866741034,0.763057218532095,0.0448632645420322,1.00947157942611,0.640679453558864,0.0469099193382753,0.678526083111926,0.637289865782273,0.0479060501676849,0.684618470650258
"",0.58,0.569411346220981,0.594693470231444,0.0469645960642833,0.430496780861224,0.789005727923971,0.0406453189807899,0.913698358756387,0.647986432980334,0.0467861521467392,0.6686770967989,0.58345536218161,0.0495456088864792,0.607920507194396
"",0.58,0.583562769587009,0.638346197922367,0.0523215886917267,0.805736526353683,0.804855412372829,0.0410848500500137,1.02705495329984,0.699840016288715,0.0464011027573412,0.745372829155692,0.653988228629967,0.0476261735083599,0.657625148909382
"",0.58,0.577103190180242,0.626214414367698,0.0520479296207652,0.743274673752971,0.831530125116498,0.0432009542917293,0.962579675781451,0.71530395879876,0.0448194927756661,0.758614614949761,0.656256251020922,0.0468554716293628,0.668559890612256
