"","ape","cape","oracle.point.estimate","oracle.standard.error.estimate","oracle.linear.point.estimate","plugin.point.estimate","plugin.standard.error.estimate","plugin.linear.point.estimate","minimax.point.estimate","minimax.standard.error.estimate","minimax.linear.point.estimate","minimax.plus.point.estimate","minimax.plus.standard.error.estimate","minimax.plus.linear.point.estimate"
"init",0.58,0.585225582953934,0.666449401661649,0.0674416401136614,0.626270204928549,0.878666993862342,0.0529853626825639,1.02313820382502,0.820108940777434,0.0555648707721293,0.876443862376059,0.734824036791968,0.0645422935025297,0.820252387920834
"",0.58,0.573142406358018,0.457689996042768,0.104951386526072,0.690430454236316,0.747328986691813,0.0682317924346906,0.939705458106143,0.685806576238653,0.0700919123282984,0.803775284659704,0.624385329829598,0.0708947908524641,0.758002729707357
"",0.58,0.579713321198753,0.537722084450198,0.0734552331514005,0.509874641484617,0.807418429099948,0.0641396659797859,0.877310262559536,0.759310584516364,0.0660995829910301,0.812393071979231,0.629578949911888,0.0729893183711726,0.664500750569965
"",0.58,0.560764870748683,0.580958702277035,0.064065437880981,0.502566440703457,0.764399807421709,0.0604727459158548,0.922276113908356,0.740138401496284,0.0625467050354842,0.807116981771019,0.668331506034393,0.0650243107014882,0.764765978953241
"",0.58,0.591489295135645,0.595865817276394,0.0659662260869763,0.427014467843358,0.773612624192821,0.0603867411714848,0.882506839489398,0.751403112603304,0.0613765353320006,0.85060139279423,0.641249982688129,0.0677417209968349,0.672324110763517
"",0.58,0.574675236103803,0.616024974507989,0.0776749099284399,0.521258700767478,0.847918173277792,0.0661732446920562,1.00193715916609,0.797961408711945,0.0669910210667115,0.841612676571236,0.688706481262843,0.0712496558974414,0.702202457287262
"",0.58,0.593690209466635,0.604013597582895,0.0743221958388313,0.667558383884432,0.828998526738409,0.0499891998988115,0.969876202138276,0.783003687986414,0.0557502592801741,0.835080540003233,0.726674905504696,0.0604500209933914,0.750794233246304
"",0.58,0.563079542401631,0.666172188060949,0.0651322450355349,0.326064928936862,0.871962834873076,0.0576250164913343,0.968737406739805,0.839633480245586,0.0603513758845886,0.889069592704815,0.77234813128483,0.0693132775155583,0.858236323366214
"",0.58,0.571002685976309,0.700344101062404,0.0620818123729861,0.54504975486535,0.890578468972131,0.0547887955469456,1.03785166302246,0.856712385355405,0.0581452968819768,0.949207295329355,0.751044560097341,0.0645022251189804,0.864697226323045
"",0.58,0.571782166290468,0.565409039786079,0.0745852536697277,0.712063128949715,0.805331124301408,0.0625136805034765,1.00431078756911,0.741983388301613,0.0624788748468291,0.885938118954383,0.623636409451891,0.0667582546330535,0.705124990441698
