"","ape","cape","oracle.point.estimate","oracle.standard.error.estimate","oracle.linear.point.estimate","plugin.point.estimate","plugin.standard.error.estimate","plugin.linear.point.estimate","minimax.point.estimate","minimax.standard.error.estimate","minimax.linear.point.estimate","minimax.plus.point.estimate","minimax.plus.standard.error.estimate","minimax.plus.linear.point.estimate"
"init",0.58,0.581591879441825,0.435041438998353,0.0816412953850535,0.464853662044433,0.698618989051341,0.0630526688594605,0.934023358932489,0.651194077619224,0.0652639907023845,0.752828040547881,0.520075976437184,0.073401275403658,0.65071221025871
"",0.58,0.59309534028695,0.507449068306232,0.0789556090107627,0.739614026434224,0.788762677132857,0.0564305407492616,0.930071162253106,0.760086447681945,0.0591642437687087,0.806525573168681,0.69206216310925,0.0606222238694393,0.737853763926286
"",0.58,0.590282165421083,0.634880680705054,0.0708262194098672,0.745271304808797,0.811489368217658,0.0576704011292606,0.941315661393794,0.782006428150788,0.0577274490080764,0.865432083485528,0.676572297688469,0.0604460367660474,0.74702354406705
"",0.58,0.565530042826411,0.702041675481335,0.0631558088763143,0.560741896049657,0.854129454583433,0.0585592884922549,0.993289960031465,0.80069439947342,0.0578440779176131,0.880459609188507,0.713474731365796,0.0630776139902371,0.764808791425187
"",0.58,0.562937821148412,0.465534378597181,0.0858342772513258,0.748710889083626,0.79635160808776,0.0531977719674304,0.970670916174275,0.732357005484971,0.0585291732310884,0.769604504991462,0.670446725355379,0.0652766175474489,0.654497162138009
"",0.58,0.577069030514389,0.695170708381141,0.0765455966365407,0.430424350790389,0.905694565323891,0.0671014654441945,1.03680770555667,0.854352135461091,0.0682833264420356,0.927081295064429,0.769785662957697,0.0736559071781056,0.854815296834428
"",0.58,0.58409276048908,0.536295859636026,0.070160292153167,0.546793654948093,0.745276878626674,0.0646061140055577,0.932334234196859,0.69659772453618,0.0634102763512819,0.772060283220425,0.589842050617407,0.0658974705652236,0.665718219932034
"",0.58,0.558201412354761,0.541001378647803,0.0733712063054943,0.388831381895245,0.805111718504931,0.0610496697329223,0.948851287485786,0.736006050566324,0.0634172390274546,0.814214248538226,0.606770426024325,0.0761222358679941,0.635472824973071
"",0.58,0.59025241189153,0.574659809942396,0.0653712508317647,0.367891300060655,0.760137750460925,0.0594078839460004,0.871390047114434,0.7437261595843,0.0621232086683298,0.808510776346243,0.639344698734222,0.0723519059443948,0.667764999214392
"",0.58,0.57778300891604,0.511219999340368,0.0857611961118535,0.331966989329164,0.763704540697416,0.0709335089320575,0.938141506626711,0.712787477353947,0.0724899892429163,0.810643234100664,0.632162942488536,0.0734384695103981,0.736697118720042
"",0.58,0.571648604711515,0.627459096027919,0.0722710239208268,0.826176325813844,0.822803984947429,0.0613611091380149,1.03491940248831,0.793777546033553,0.063994821787274,0.87604360578528,0.708551544028129,0.0628682770533222,0.77583699339048
"",0.58,0.587160309918281,0.546916330247325,0.0708159425370645,0.317419087159839,0.794263919148769,0.0547136595529191,0.854830608151947,0.747180106961509,0.059715161845552,0.792955684164748,0.595611495032219,0.0727520032380712,0.600442120398071
"",0.58,0.578041810907979,0.509495190635364,0.0725077519911992,0.326102723998761,0.748821412349022,0.0602841889375213,0.798018451377209,0.740929007498182,0.0611870663074569,0.790181785427493,0.637623915466296,0.0692674488625164,0.669638938215336
"",0.58,0.567790267569428,0.542757275257144,0.0674766361330725,0.565711730443214,0.759854290881056,0.0571832102330542,0.897171335774972,0.767356141412909,0.0651148482389412,0.852910041992344,0.677580809409735,0.0654547466098116,0.728115793107715
"",0.58,0.59003943474816,0.641965696713415,0.0987843476219086,0.745956189886173,0.875802110436004,0.0581076076483825,0.998598197167856,0.842186279284744,0.0636338633048145,0.900717116146395,0.780168942560558,0.0701999046335077,0.808983837434756
"",0.58,0.566366151193153,0.625670632842222,0.0575596159224004,0.185090574317534,0.802016979306618,0.0589265092688904,0.878316363952404,0.754364139563895,0.0614155012743845,0.796428805018634,0.587511288064148,0.0725003823594429,0.644430084446461
"",0.58,0.5907760985425,0.572997899816632,0.0730535841269885,0.616654433221304,0.805073154602326,0.0582440742629992,0.934872572020034,0.766122346648443,0.0587075806130759,0.833226908426091,0.76840015086904,0.0620777456180451,0.809608230476239
"",0.58,0.550348812008703,0.597254106490982,0.0690306152608236,0.542668170741942,0.838999361700682,0.0575936061900287,0.989682534678721,0.784591756125685,0.0583145667811578,0.864950803606789,0.622957038905151,0.0661789120061903,0.681379443722815
"",0.58,0.588873151352919,0.533567932045964,0.10831416132824,0.373455091562843,0.849906310046756,0.0682833642052317,0.977851873013598,0.809686518151136,0.0731661579820503,0.904622015923713,0.643062956415944,0.081342466184139,0.641661853887461
"",0.58,0.572482524267455,0.547794283495077,0.0780963202226211,0.590098316137016,0.805611060962141,0.0579723165806659,0.990168595993717,0.7584004106356,0.0622722235372551,0.839707029160018,0.718295777962277,0.0654994005379086,0.787984435699265
"",0.58,0.593793741396682,0.555897692944457,0.0916308745375623,0.48088304553833,0.789586557626272,0.0678551166404393,0.985742382312736,0.74783885476979,0.071253011182442,0.837064292881516,0.671444665414448,0.0715372476856318,0.748051741895825
"",0.58,0.568447160042836,0.643063083088491,0.0868967130476741,0.438082904946492,0.953244833502508,0.0599269755184103,1.00086762456414,0.908178997216415,0.0606734132750726,0.953409891102299,0.855611401853133,0.0723007506678809,0.852866127727716
"",0.58,0.568469278000242,0.496823220296076,0.0733619987366088,0.449522314365725,0.730979455383079,0.0631995223917885,0.957336968782758,0.725353897149742,0.0652636297888729,0.839278106959259,0.586123393021485,0.0697303599413191,0.675997381755719
"",0.58,0.566851962031807,0.534207511758096,0.0785086997801267,0.630525363709397,0.797470120180064,0.056532519676479,0.92487260283677,0.758176880125927,0.0604993048402394,0.792006424313394,0.663039075800057,0.0680838845628004,0.740909287950438
"",0.58,0.567033759186324,0.478670593901336,0.0822328116031355,0.661104652228334,0.794772733830212,0.0606706890586605,0.981206222564967,0.735275334793148,0.0616832195945311,0.785392126285542,0.619784536165478,0.0669476709472166,0.671486158410857
"",0.58,0.571240235218646,0.556160565701104,0.0689262855173809,0.262129275717005,0.783689973187547,0.0722676530291168,0.925050620318694,0.720753812139757,0.0726461688650444,0.835277013913641,0.604819264645017,0.0706844910889083,0.698015201355107
"",0.58,0.576817706827351,0.62736242984682,0.0779519152076704,0.834753764390432,0.858776456153822,0.0599111891850425,0.995958570700377,0.826611796039612,0.0613004970267916,0.898156109374482,0.679049012890167,0.0695232301189791,0.736895544470038
"",0.58,0.581673222668552,0.526394896709929,0.0753315555937355,0.57671657817566,0.78893476318795,0.0550791361500586,0.949642858856528,0.724011276043598,0.0571453918415534,0.771874390284299,0.569003383159412,0.0668766682497648,0.585442833031095
"",0.58,0.578367257731673,0.713363047324834,0.0625089246402384,0.608400756853635,0.905770980388334,0.0549624703842594,1.12307852779958,0.861590719989438,0.056069785411814,0.947194687068009,0.773813338013135,0.062922909395346,0.883900155350072
"",0.58,0.576944896948924,0.598313639793886,0.0636744805649187,0.344543210754778,0.808691070208656,0.0560009583630679,0.922646613557454,0.740688774074521,0.0569314336162371,0.806804922773717,0.658300577515437,0.0629998813817665,0.738418741686613
"",0.58,0.559973178405991,0.582069000496789,0.084409123640866,0.320776550760348,0.846863288067067,0.0568940900923913,0.986412581624054,0.795680465098473,0.0601382928798972,0.888688467555752,0.705920284164698,0.0679344669928416,0.766194780733682
"",0.58,0.591198568688978,0.618462897911387,0.066350780952906,0.643633611735321,0.810378323063485,0.0540039868617273,0.932994856508299,0.78177606241512,0.0567179964338933,0.82743522701419,0.721345307609165,0.0623040405166814,0.729688603786633
"",0.58,0.593185962103717,0.625911264559576,0.0646731873661165,0.568944008160299,0.828115229063824,0.0602700615899181,0.94786507558969,0.774643468112728,0.058736842717564,0.846586245561757,0.701415366640196,0.0659146203993582,0.751037999497825
"",0.58,0.57615702988021,0.653225790151115,0.0576807432320989,0.295764027382592,0.805014130543755,0.0608841253460251,0.868648118827733,0.758669386385353,0.0599782386970462,0.814773945242372,0.692564714260208,0.0629384574486547,0.687597768970806
"",0.58,0.547819213113092,0.628578740575266,0.0684828286850245,0.454143981108202,0.896442538942424,0.056587857810152,1.02180105058587,0.845733849086052,0.057286619296581,0.898991852672939,0.728894771298423,0.0674172663759381,0.821173771961227
"",0.58,0.571530158607926,0.695879498340356,0.071097691386114,0.457756554419227,0.909952012480791,0.0655809639466773,1.00761294062872,0.859747462723545,0.0661738698618016,0.903283258253463,0.766705323179053,0.0687795804617603,0.779051196909377
"",0.58,0.56682617021672,0.559652846008321,0.0765999886699266,0.466286137302434,0.822077947478659,0.0571612872302725,0.899932383237376,0.794305610032183,0.0627294229830626,0.829456323089948,0.7124955153982,0.0710541299840377,0.712207493580279
"",0.58,0.591177858517387,0.625136315765002,0.0662056967729626,0.350584432108545,0.829044105088337,0.0552357049231729,0.98855932144384,0.805916982066487,0.0576225270465242,0.92482002054585,0.688573299967379,0.0616900997787704,0.748011402710364
"",0.58,0.595907701741163,0.485416352522671,0.0911345241446017,0.810690350104701,0.76549908587803,0.0653477311225273,0.898164282908006,0.692404418836951,0.0637599854132807,0.76236357065041,0.563103680412459,0.0654359588373059,0.635705922462238
"",0.58,0.587506806994737,0.481456022410063,0.0843740265377344,0.785302258189635,0.702392412353285,0.05672642478634,0.920124241692432,0.665174909861142,0.0602178565548179,0.800545828978138,0.570880322786315,0.0627776623546408,0.737663843994209
"",0.58,0.575747087462917,0.508660008056649,0.0973598322847912,0.571868533202646,0.805331771887137,0.0607320154344544,0.928268935526688,0.752052983315614,0.0637424478992851,0.82718347090913,0.660746112000692,0.0713590319870545,0.720250540755014
"",0.58,0.559273658662184,0.463120965042521,0.109022973680997,0.655675332797207,0.859429572623703,0.0636730076168098,0.982531818671593,0.756890810716563,0.0720529952410952,0.813229705976821,0.630641322848316,0.0747485507773389,0.6805379989025
"",0.58,0.570927635006926,0.528236489804956,0.0795684461055254,0.431862504462472,0.706362100294013,0.0705624126495314,0.874452850208253,0.688720912142711,0.0683708122434743,0.743340100415408,0.636904885543807,0.0686130155439493,0.71299404663301
"",0.58,0.599457247822905,0.65155744674898,0.0607232896817644,0.648549105624761,0.810597451162571,0.0511847366075033,1.02114960867336,0.770949338526672,0.05427383960934,0.886083360150316,0.628423345983474,0.0646723515503902,0.767183393690875
"",0.58,0.562018526308108,0.721358601744435,0.0742903913213559,0.747373618728924,0.958910767231046,0.0573860083398822,1.1795824766376,0.907712744135632,0.0619911579585391,1.00737404714566,0.743048952843796,0.0675141265673431,0.801697193495576
"",0.58,0.565959443549587,0.516119393424164,0.0876610119436929,0.67745061996159,0.757963674976723,0.0601118900315238,0.902575663090407,0.730902430043481,0.0603085126501903,0.804954144681081,0.641455148990968,0.0639009586267206,0.690018273082374
"",0.58,0.580733603207526,0.519536277850004,0.0827566604994995,0.54676983320901,0.75580811187555,0.0572276462803877,0.850818948043054,0.741937290485315,0.0603298181567082,0.811421099526122,0.645411873452448,0.069520144604925,0.669658351008132
